State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,1,185,Saraland City School District,"13,812","2,211",305
AL,1,189,Satsuma City School District,"6,144","1,008",181
AL,1,2940,Scottsboro City School District,"14,323","2,090",384
AL,1,2970,Selma City School District,"17,609","3,114","1,300"
AL,1,3000,Sheffield City School District,"9,163","1,327",400
AL,1,3030,Shelby County School District,"131,961","22,873","1,574"
AL,1,3062,St. Clair County School District,"57,419","9,604","1,210"
AL,1,3090,Sumter County School District,"12,427","1,647",724
AL,1,3120,Sylacauga City School District,"12,436","2,005",438
AL,1,3150,Talladega City School District,"15,580","2,329",657
AL,1,3180,Talladega County School District,"47,911","7,280","1,669"
AL,1,3210,Tallapoosa County School District,"21,802","3,228",690
AL,1,3240,Tallassee City School District,"8,940","1,510",306
AL,1,3270,Tarrant City School District,"6,428","1,292",488
AL,1,3300,Thomasville City School District,"5,390",845,189
AL,1,3330,Troy City School District,"18,264","2,243",583
AL,1,13,Trussville City School District,"19,965","3,866",238
AL,1,3360,Tuscaloosa City School District,"96,555","11,578","2,723"
AL,1,3390,Tuscaloosa County School District,"112,800","19,860","3,443"
AL,1,3420,Tuscumbia City School District,"8,701","1,269",256
AL,1,3430,Vestavia Hills City School District,"33,829","6,377",222
AL,1,3450,Walker County School District,"49,925","8,209","1,879"
AL,1,3480,Washington County School District,"16,326","2,701",704
AL,1,3510,Wilcox County School District,"10,373","1,765",805
AL,1,3540,Winfield City School District,"6,440","1,004",199
AL,1,3580,Winston County School District,"15,773","2,322",479
AK,2,50,Alaska Gateway School District,"2,295",387,71
AK,2,10,Aleutian Region School District,612,26,2
AK,2,7,Aleutians East Borough School District,"3,337",185,21
AK,2,180,Anchorage School District,"288,000","49,240","4,730"
AK,2,525,Annette Island School District,"1,468",269,58
AK,2,20,Bering Strait School District,"6,215","1,698",505
AK,2,30,Bristol Bay Borough School District,836,91,11
AK,2,730,Chatham School District,"1,280",166,31
AK,2,800,Chugach School District,447,58,3
AK,2,70,Copper River School District,"2,699",465,31
AK,2,60,Cordova City School District,"2,138",349,14
AK,2,90,Craig City School District,"1,208",222,38
AK,2,100,Delta/Greely School District,"4,717",818,112
AK,2,770,Denali Borough School District,"2,097",303,23
AK,2,120,Dillingham City School District,"2,360",452,99
AK,2,600,Fairbanks North Star Borough School District,"96,849","15,825","1,206"
AK,2,130,Galena City School District,440,101,20
AK,2,270,Haines Borough School District,"2,530",343,46
AK,2,300,Hoonah City School District,778,108,30
AK,2,330,Hydaburg City School District,377,65,25
AK,2,520,Iditarod Area School District,"1,039",221,65
AK,2,210,Juneau Borough School District,"31,974","4,942",338
AK,2,360,Kake City School District,560,91,14
AK,2,5,Kashunamiut School District,"1,040",302,109
AK,2,390,Kenai Peninsula Borough School District,"58,708","9,698","1,100"
AK,2,150,Ketchikan Gateway Borough School District,"13,901","2,234",217
AK,2,450,Klawock City School District,759,144,30
AK,2,480,Kodiak Island Borough School District,"12,998","2,292",177
AK,2,760,Kuspuk School District,"1,519",349,90
AK,2,485,Lake and Peninsula Borough School District,"1,592",299,77
AK,2,1,Lower Kuskokwim School District,"15,364","3,834","1,111"
AK,2,3,Lower Yukon School District,"6,709","1,893",684
AK,2,510,Matanuska-Susitna Borough School District,"108,317","21,229","2,022"
AK,2,540,Nenana City School District,351,67,15
AK,2,570,Nome School District,"3,789",766,94
AK,2,610,North Slope Borough School District,"9,832","1,855",260
AK,2,625,Northwest Arctic Borough School District,"7,621","1,955",548
AK,2,630,Pelican City School District,90,11,2
AK,2,660,Petersburg Borough School District,"3,266",486,39
AK,2,670,Pribilof School District,589,81,9
AK,2,240,Sitka School District,"8,493","1,329",103
AK,2,690,Skagway School District,"1,183",126,9
AK,2,700,Southeast Island School District,"1,831",264,60
AK,2,710,Southwest Region School District,"2,556",618,175
AK,2,680,St. Marys City School District,565,150,46
AK,2,715,Tanana City School District,230,47,8
AK,2,720,Unalaska City School District,"4,433",346,12
AK,2,780,Valdez City School District,"3,798",643,87
AK,2,810,Wrangell School District,"2,502",387,36
AK,2,840,Yakutat School District,579,72,20
AK,2,775,Yukon Flats School District,"1,348",259,80
AK,2,862,Yukon-Koyukuk School District,"1,871",368,105
AK,2,4,Yupiit School District,"1,455",374,127
AZ,4,450,Agua Fria Union High School District,"141,881","8,164",816
AZ,4,480,Aguila Elementary District,"1,385",214,52
AZ,4,520,Ajo Unified District,"3,530",419,76
AZ,4,600,Alhambra Elementary District,"99,277","15,865","4,947"
AZ,4,630,Alpine Elementary District,465,45,21
AZ,4,4770,Altar Valley Elementary District,"7,762","1,327",240
AZ,4,680,Amphitheater Unified District,"145,515","18,828","2,797"
AZ,4,720,Antelope Union High School District,"6,964",359,93
AZ,4,750,Apache Elementary District,159,22,10
AZ,4,790,Apache Junction Unified District,"70,095","7,901","1,297"
AZ,4,840,Arlington Elementary District,"1,708",270,62
AZ,4,870,Ash Creek Elementary District,675,47,5
AZ,4,910,Ash Fork Joint Unified District,"2,004",259,37
AZ,4,960,Avondale Elementary District,"52,474","7,807","1,435"
AZ,4,1000,Bagdad Unified School District,"2,388",450,44
AZ,4,1050,Balsz Elementary District,"34,117","3,845","1,164"
AZ,4,1080,Beaver Creek Elementary District,"5,360",732,94
AZ,4,212,Benson Unified School District,"7,859","1,119",312
